HomeTeam,AwayTeam,FTR
Watford,Chelsea,A
Crystal Palace,Leicester,A
Norwich,Watford,A
Chelsea,Crystal Palace,H
Burnley,West Ham,H
Newcastle,Bournemouth,H
Southampton,Everton,A
Leicester,Arsenal,H
Man United,Brighton,H
Wolves,Aston Villa,H
Liverpool,Man City,H
West Ham,Tottenham,A
Bournemouth,Wolves,A
Brighton,Leicester,A
Crystal Palace,Liverpool,A
Everton,Norwich,A
Watford,Burnley,A
Man City,Chelsea,H
Aston Villa,Newcastle,H
Burnley,Crystal Palace,A
Chelsea,West Ham,A
Liverpool,Brighton,H
Tottenham,Bournemouth,H
Southampton,Watford,H
Leicester,Everton,H
Crystal Palace,Bournemouth,H
Burnley,Man City,A
Chelsea,Aston Villa,H
Leicester,Watford,H
Man United,Tottenham,H
Southampton,Norwich,H
Wolves,West Ham,H
Liverpool,Everton,H
Sheffield United,Newcastle,A
Arsenal,Brighton,A
Everton,Chelsea,H
Bournemouth,Liverpool,A
Tottenham,Burnley,H
Man City,Man United,A
Aston Villa,Leicester,A
Newcastle,Southampton,H
Norwich,Sheffield United,A
West Ham,Arsenal,A
Liverpool,Watford,H
Burnley,Newcastle,H
Chelsea,Bournemouth,A
Sheffield United,Aston Villa,H
Southampton,West Ham,A
Wolves,Tottenham,A
Arsenal,Man City,A
Aston Villa,Southampton,A
Bournemouth,Burnley,A
Brighton,Sheffield United,A
Newcastle,Crystal Palace,H
Norwich,Wolves,A
Man City,Leicester,H
Watford,Man United,H
Tottenham,Chelsea,A
Tottenham,Brighton,H
Aston Villa,Norwich,H
Chelsea,Southampton,A
Crystal Palace,West Ham,H
Everton,Burnley,H
Man United,Newcastle,H
Leicester,Liverpool,A
Wolves,Man City,H
Brighton,Bournemouth,H
Newcastle,Everton,A
Watford,Aston Villa,H
West Ham,Leicester,A
Burnley,Man United,A
Arsenal,Chelsea,A
Liverpool,Wolves,H
Man City,Sheffield United,H
Burnley,Aston Villa,A
Newcastle,Leicester,A
Southampton,Tottenham,H
Watford,Wolves,H
Man City,Everton,H
West Ham,Bournemouth,H
Arsenal,Man United,H
Liverpool,Sheffield United,H
Sheffield United,West Ham,H
Chelsea,Burnley,H
Everton,Brighton,H
Leicester,Southampton,A
Man United,Norwich,H
Tottenham,Liverpool,A
Bournemouth,Watford,A
Aston Villa,Man City,A
Norwich,Bournemouth,H
Southampton,Wolves,A
Newcastle,Chelsea,H
Burnley,Leicester,H
Liverpool,Man United,H
Aston Villa,Watford,H
Bournemouth,Brighton,H
Crystal Palace,Southampton,A
Sheffield United,Man City,A
Leicester,West Ham,H
Tottenham,Norwich,H
Man United,Burnley,A
Wolves,Liverpool,A
West Ham,Liverpool,A
Bournemouth,Aston Villa,H
Crystal Palace,Sheffield United,A
Liverpool,Southampton,H
Watford,Everton,A
Tottenham,Man City,H
Everton,Crystal Palace,H
Sheffield United,Bournemouth,H
Southampton,Burnley,A
Norwich,Liverpool,A
Aston Villa,Tottenham,A
Arsenal,Newcastle,H
Chelsea,Man United,A
Man City,West Ham,H
Chelsea,Tottenham,H
Burnley,Bournemouth,H
Crystal Palace,Newcastle,H
Southampton,Aston Villa,H
Leicester,Man City,A
Man United,Watford,H
Wolves,Norwich,H
Arsenal,Everton,H
Liverpool,West Ham,H
Norwich,Leicester,H
Brighton,Crystal Palace,A
West Ham,Southampton,H
Watford,Liverpool,H
Tottenham,Wolves,A
Liverpool,Bournemouth,H
Arsenal,West Ham,H
Crystal Palace,Watford,H
Sheffield United,Norwich,H
Southampton,Newcastle,A
Chelsea,Everton,H
Man United,Man City,H
Leicester,Aston Villa,H
